,ROP OFFLINE,SURFACE TORQUE,WEIGHT ON BIT DRILLER,MUD WEIGHT IN,MUD WEIGHT OUT,TEMPERATURE IN,TEMPERATURE OUT,D-EXPONENT,TOTAL RPM [SURFACE + DHM],STAND PIPE PRESSURE,PUMP FLOW,TOTALROTARYTIME,BIT TIME,BIT RUN,TOTALCUMREVONBOTTOM,SUM ALL PITS,ECD,DEPTH,WELLNAME,LITHOLOGY,LITH_CATEGORY,LATITUDE,LONGITUDE
0,,,,,,,,,,,,,,,,,,508.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
1,,,,,,,,,,,,,,,,,,508.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
2,,,,,,,,,,,,,,,,,,509.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
3,,,,,,,,,,,,,,,,,,509.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
4,76.37,0.0,0.0,8.6,0.25,31.3,35.0,,44.0,392.0,407.0,2.39,0.01,0.57,43.0,2324.23,8.6,510.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
5,55.84,0.0,0.0,8.6,0.25,31.3,35.2,,44.0,440.0,407.0,2.39,0.02,1.06,72.0,2328.63,8.6,510.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
6,43.44,0.0,0.0,8.6,0.25,31.3,35.1,,43.0,465.0,407.0,2.39,0.03,1.56,102.0,2313.68,8.6,511.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
7,40.64,0.0,0.0,8.6,0.25,31.3,34.9,,43.0,511.0,402.0,2.39,0.04,2.06,133.0,2311.44,8.6,511.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
8,32.96,0.0,0.0,8.6,0.25,31.3,35.2,,43.0,528.0,406.0,2.39,0.06,2.54,177.0,2297.96,8.6,512.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
9,38.86,0.0,0.0,8.6,0.25,31.2,35.2,,42.0,565.0,401.0,2.39,0.07,3.02,206.0,2294.63,8.6,512.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
10,37.36,0.0,0.0,8.6,0.25,31.2,35.1,,43.0,528.0,401.0,2.39,0.08,3.59,242.0,2285.22,8.6,513.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
11,30.05,0.0,0.0,8.6,0.25,31.2,35.3,,43.0,532.0,400.0,2.39,0.1,4.07,291.0,2272.09,8.6,513.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
12,24.79,125.0,0.0,8.6,0.25,31.3,35.3,,70.0,897.0,600.0,2.51,0.13,4.55,378.0,2263.72,8.6,514.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
13,27.05,45.0,0.0,8.6,0.25,31.3,34.9,,75.0,809.0,602.0,2.53,0.15,5.07,460.0,2239.98,8.6,514.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
14,25.39,373.0,0.0,8.6,0.25,31.3,35.1,,75.0,821.0,601.0,2.54,0.16,5.57,537.0,2227.83,8.6,515.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
15,24.12,289.0,0.0,8.6,0.25,31.3,35.0,0.5,74.0,801.0,602.0,2.57,0.19,6.03,635.0,2203.81,8.6,515.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
16,22.61,154.0,1.59,8.6,0.25,31.3,35.4,0.51,75.0,787.0,602.0,2.59,0.21,6.58,747.0,2196.39,8.6,516.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
17,22.59,374.0,0.52,8.6,0.25,31.3,34.9,0.5,74.0,790.0,603.0,2.61,0.23,7.04,825.0,2187.18,8.6,516.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
18,37.76,191.0,1.3,8.6,0.25,31.3,35.2,0.47,74.0,775.0,604.0,2.62,0.24,7.55,881.0,2175.32,8.6,517.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
19,38.6,187.0,0.98,8.6,0.25,31.2,35.0,0.45,75.0,782.0,601.0,2.63,0.25,8.07,937.0,2161.61,8.6,517.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
20,39.17,243.0,1.46,8.6,0.25,31.3,35.2,0.49,74.0,777.0,603.0,2.65,0.26,8.57,985.0,2157.65,8.6,518.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
21,31.8,351.0,0.84,8.6,0.25,31.2,35.1,0.54,83.0,876.0,647.0,2.67,0.29,9.05,1090.0,2138.33,8.6,518.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
22,29.65,1197.0,1.05,8.6,0.25,31.3,34.8,0.54,101.0,1308.0,798.0,2.68,0.3,9.53,1175.0,2119.38,8.6,519.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
23,34.18,397.0,2.16,8.6,0.25,31.3,35.0,0.54,102.0,1237.0,799.0,2.7,0.32,10.04,1258.0,2122.71,8.6,519.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
24,30.19,144.0,1.68,8.6,0.25,31.3,35.2,0.55,101.0,1176.0,796.0,2.72,0.33,10.56,1374.0,2128.63,8.6,520.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
25,26.73,412.0,0.89,8.6,0.25,31.2,35.1,0.55,100.0,1193.0,796.0,2.74,0.35,11.06,1494.0,2118.95,8.6,520.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
26,30.77,719.0,1.89,8.6,0.25,31.2,34.8,0.53,107.0,1393.0,855.0,2.75,0.37,11.59,1594.0,2116.01,8.6,521.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
27,32.01,1265.0,0.66,8.6,0.25,31.3,35.1,0.49,110.0,1459.0,877.0,2.77,0.38,12.08,1681.0,2127.45,8.6,521.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
28,43.21,663.0,0.3,8.6,0.25,31.3,35.0,0.46,109.0,1445.0,879.0,2.78,0.39,12.54,1748.0,2126.59,8.6,522.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
29,47.7,701.0,0.55,8.6,0.25,31.2,35.1,0.45,109.0,1459.0,878.0,2.79,0.4,13.04,1814.0,2120.76,8.6,522.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
30,51.29,577.0,1.05,8.6,0.25,31.3,34.9,0.49,110.0,1434.0,880.0,2.8,0.41,13.58,1880.0,2126.04,8.6,523.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
31,47.16,484.0,0.84,8.6,0.25,31.3,35.2,0.54,113.0,1523.0,914.0,2.81,0.43,14.08,1981.0,2126.54,8.6,523.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
32,27.92,532.0,1.13,8.6,0.25,31.2,34.9,0.58,113.0,1536.0,914.0,2.83,0.45,14.55,2130.0,2089.84,8.6,524.0,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
33,28.79,629.0,0.4,8.6,0.25,31.2,35.0,0.48,113.0,1475.0,914.0,2.85,0.46,15.05,2216.0,2075.79,8.6,524.5,Poseidon North-1,Undefined,Undefined,-13.573562,122.340154
